Grant Name,Administering Body,Grant Purpose,Application Deadline,Funding Amount,Co-contribution Requirements,Eligibility Criteria,Assessment Criteria,Application Complexity,Web Link,Level of Complexity
American Australian Association Graduate Education Fund,American Australian Association,"Provide financial support to American and Australian individuals pursuing innovative Master's, Ph.D., or Postdoctoral study and research in each other's countries",Australia to USA: January 1 - March 31; USA to Australia: August 1 - September 30,"Up to US$40,000 per scholarship",None specified,Australian and Indigenous Australian individuals undertaking full-time graduate-level study at an accredited US educational institution,"Academic excellence, innovation potential, and contribution to global challenges",Moderate - online application with academic and research focus,https://www.americanaustralian.org/,Moderate
AMP Tomorrow Makers SPARK Program 2025,"AMP Foundation, Australia","Support social enterprises and impact projects addressing community challenges (health, education, environment) through funding and 18-week incubation/acceleration program",Applications typically open early 2025 (exact dates TBA),"Grant up to AUD $20,000 each plus full participation in 18-week workshop/mentoring program",No formal matching; participants must commit to program attendance and demonstrate dedication,"Open to individuals or teams developing new social enterprises or scaling existing ones. No restrictions on sector or age, projects must aim for positive social/environmental impact","Panel selection based on creativity, viability and impact potential of social innovation","Moderate - online application with draft project plan, subsequent intensive program",https://www.amp.com.au/,Moderate
ANDHealth+ Digital Health Accelerator Fund,ANDHealth,Support digital health startup commercialization,Ongoing cohort applications,Two-stage funding with project support,Company equity/commitment,Digital health startups and scale-ups,"Commercial viability, health impact, team capability",Moderate - requires business plan and pitch,https://www.andhealth.com.au/,Moderate
Auckland Medical Research Foundation Project Grants,Auckland Medical Research Foundation (AMRF),Supports high-quality medical research projects and emerging researchers in Auckland and Northland regions,Annual rounds; Q&A sessions early 2026,"Up to NZD $180,000 (approx. AUD $164,000)",Not specified,Principal investigator affiliated with host institution in Auckland/Northland; international co-applicants permitted,"Research quality, emerging researcher development, regional focus",Moderate,https://www.medicalresearch.org.nz/grants,Moderate
auDA Community Grant Program 2025,"auDA Foundation, Australia","Fund community-led projects using internet and ICT to benefit under-served Australians, focusing on digital inclusion and innovation for rural/remote, disabled, Indigenous, elderly (65+) and youth (12-24)",1 September 2025 (5pm AEST),"Up to 15 grants at AUD $50,000 each for community projects (1-year duration), total pool $750,000","No formal co-funding required (grants fully funded by auDA), but projects should demonstrate in-kind contributions where possible",ACNC-registered not-for-profit organizations and research institutions in Australia. Projects must clearly benefit at least one priority group,"Reviewed by auDA Public Benefit Committee on community impact, innovation in internet use, alignment with digital inclusion goals","Moderate - straightforward online application, no preliminary EOI required",https://www.auda.org.au/,Moderate
ACSES Small Grants 2025,Australian Centre for Student Equity and Success,"Support applied research projects addressing equity and student success in Australian higher education, aligned with University Accord priorities (social inclusion, supporting first-gen students)",2-Jul-25,"Up to 10 grants of up to AUD $50,000 each (ex. GST), typically one-year projects",None specified (grant covers all direct costs),"Australian-based researchers and practitioners (academics, university staff, NGOs) experienced in higher-ed studies, proposing research on equity challenges. Collaborative and interdisciplinary proposals encouraged","Merit-based competitive review by ACSES board on relevance to equity issues, methodological rigor, and potential policy impact","Moderate - online application with project plan and budget, clear aims addressing national equity priorities",https://www.acses.org.au/,Moderate
Australian Department of Education - National Priority Pool Program,Australian Department of Education,"Address national education priorities, support disadvantaged students, and improve teaching quality and educational outcomes across Australia","Specific calls, various dates","Varies by call, typically AUD $100,000 - $1M+ for 1-3 years","Not explicitly stated, may vary by call","Australian education providers, research institutions, and non-profit organizations","Alignment with national priorities, project merit, capacity to deliver, and value for money",Moderate - requires detailed project plans and clear methodologies for achieving educational outcomes,https://www.education.gov.au/national-priority-pool-program,Moderate
Entrepreneurs' Programme - Accelerating Commercialisation,"Australian Department of Industry, Science and Resources","Provide matched funding to Australian SMEs and startups to commercialize novel products, processes, or services",Continuous applications,"AUD $50,000 - $1M (matched funding), typically 1-2 years",Mandatory matched funding (cash) from the applicant,"Australian SMEs or startups with a novel product, process, or service, and a clear commercialization plan","Commercialization potential, market opportunity, management capability, and financial viability",Complex - requires strong business case and commercialization pathway,https://business.gov.au/grants-and-programs/accelerating-commercialisation,Complex
AustCyber Projects Fund,Australian Federal Government - Cyber Security Growth Network (AustCyber),"Grow Australia's cyber security industry by supporting innovative projects that enhance cyber capabilities, foster collaboration, and drive industry growth","Specific calls, various dates","AUD $50,000 - $500,000 for 1-2 years",Mandatory co-contribution (cash or in-kind),"Australian organizations (companies, research institutions) with projects focused on cyber security innovation and growth","Alignment with national cyber security strategy, potential for industry growth, innovation, and collaboration",Moderate - requires alignment with national cyber security strategies,https://www.austcyber.com/our-work/projects-fund,Moderate
CRC Grants -- Round 26,Australian Government CRC Program,"Fund large-scale, long-term (up to 10-year) industry-led research collaborations to solve industry-identified problems and boost competitiveness and productivity in Australia","Stage 2 applications anticipated August-September 2025, final outcomes expected early 2026","Government pays up to 50% of eligible project costs (no fixed per-project cap), typically multi-million dollar grants over multiple years",Mandatory matching of at least 50% from industry and/or research partners (cash or in-kind),Consortium with ≥3 Australian industry organisations (for-profit SMEs or larger) and ≥2 Australian research organisations. CRC becomes incorporated company,"Alignment to government priorities, industry need, research excellence, training programs, SME participation. Final approval by Government Minister","Very high - multi-stage, highly competitive, requiring detailed collaboration agreements, governance plans and business cases",https://www.industry.gov.au/funding-and-incentives/cooperative-research-centres-programme,Very Complex
