Grant Name,Administering Body,Grant Purpose,Application Deadline,Deadline Type,Deadline Date,Deadline Status,Days Until Deadline,Deadline Notes,Expired,Funding Amount,Funding Min Amount,Funding Max Amount,Funding Currency,Funding Amount (AUD),Parsing Confidence,Parsing Notes,Co-contribution Requirements,Eligibility Criteria,Assessment Criteria,Application Complexity,Web Link,Level of Complexity
American Australian Association Graduate Education Fund,American Australian Association,"Provide financial support to American and Australian individuals pursuing innovative Master's, Ph.D., or Postdoctoral study and research in each other's countries",Australia to USA: January 1 - March 31; USA to Australia: August 1 - September 30,OTHER,,UNKNOWN,,Standard deadline,Yes,"Up to US$40,000 per scholarship","40,000","40,000",USD,"60,800",HIGH,Up to amount,None specified,Australian and Indigenous Australian individuals undertaking full-time graduate-level study at an accredited US educational institution,"Academic excellence, innovation potential, and contribution to global challenges",Moderate - online application with academic and research focus,https://www.americanaustralian.org/,Moderate
AMP Foundation Tomorrow Makers SPARK,AMP Foundation,18-week program for social entrepreneurs to grow ideas and create social change,Check website for current round dates,OTHER,,UNKNOWN,,Standard deadline,No,"Up to $20,000 grant","20,000","20,000",AUD,"20,000",HIGH,Up to amount,None required - fully subsidised program,Anyone with new social enterprise idea or scaling existing operation,Social impact potential; Business model viability; Team capability,Medium - application process,https://ampfoundation.com.au/spark/index.html,Moderate
AMP Tomorrow Makers SPARK Program 2025,"AMP Foundation, Australia","Support social enterprises and impact projects addressing community challenges (health, education, environment) through funding and 18-week incubation/acceleration program",Applications typically open early 2025 (exact dates TBA),TBA,,TBA,,Standard deadline,Yes,"Grant up to AUD $20,000 each plus full participation in 18-week workshop/mentoring program","20,000","20,000",AUD,"20,000",HIGH,Up to amount,No formal matching; participants must commit to program attendance and demonstrate dedication,"Open to individuals or teams developing new social enterprises or scaling existing ones. No restrictions on sector or age, projects must aim for positive social/environmental impact","Panel selection based on creativity, viability and impact potential of social innovation","Moderate - online application with draft project plan, subsequent intensive program",https://www.amp.com.au/,Moderate
ANDHealth+ Digital Health Accelerator Fund,ANDHealth,Support digital health startup commercialization,Ongoing cohort applications,ROLLING,,ONGOING,,Applications accepted continuously,No,Two-stage funding with project support,,,UNKNOWN,,LOW,No numbers found,Company equity/commitment,Digital health startups and scale-ups,"Commercial viability, health impact, team capability",Moderate - requires business plan and pitch,https://www.andhealth.com.au/,Moderate
Auckland Medical Research Foundation Project Grants,Auckland Medical Research Foundation (AMRF),Supports high-quality medical research projects and emerging researchers in Auckland and Northland regions,Annual rounds; Q&A sessions early 2026,ANNUAL,,ONGOING,,Annual application cycle,No,"Up to NZD $180,000 (approx. AUD $164,000)","164,000","180,000",NZD,"163,800",MEDIUM,"Up to amount; Range: 164,000 - 180,000; Multiple currencies mentioned",Not specified,Principal investigator affiliated with host institution in Auckland/Northland; international co-applicants permitted,"Research quality, emerging researcher development, regional focus",Moderate,https://www.medicalresearch.org.nz/grants,Moderate
auDA Community Grant Program 2025,"auDA Foundation, Australia","Fund community-led projects using internet and ICT to benefit under-served Australians, focusing on digital inclusion and innovation for rural/remote, disabled, Indigenous, elderly (65+) and youth (12-24)",1 September 2025 (5pm AEST),SPECIFIC,1/09/2025,PAST,,Standard deadline,Yes,"Up to 15 grants at AUD $50,000 each for community projects (1-year duration), total pool $750,000","50,000","750,000",AUD,"750,000",MEDIUM,"Up to amount; Range: 50,000 - 750,000","No formal co-funding required (grants fully funded by auDA), but projects should demonstrate in-kind contributions where possible",ACNC-registered not-for-profit organizations and research institutions in Australia. Projects must clearly benefit at least one priority group,"Reviewed by auDA Public Benefit Committee on community impact, innovation in internet use, alignment with digital inclusion goals","Moderate - straightforward online application, no preliminary EOI required",https://www.auda.org.au/,Moderate
ACSES Small Grants 2025,Australian Centre for Student Equity and Success,"Support applied research projects addressing equity and student success in Australian higher education, aligned with University Accord priorities (social inclusion, supporting first-gen students)",2-Jul-25,SPECIFIC,2/07/2025,PAST,,Standard deadline,Yes,"Up to 10 grants of up to AUD $50,000 each (ex. GST), typically one-year projects","50,000","50,000",AUD,"50,000",HIGH,Up to amount,None specified (grant covers all direct costs),"Australian-based researchers and practitioners (academics, university staff, NGOs) experienced in higher-ed studies, proposing research on equity challenges. Collaborative and interdisciplinary proposals encouraged","Merit-based competitive review by ACSES board on relevance to equity issues, methodological rigor, and potential policy impact","Moderate - online application with project plan and budget, clear aims addressing national equity priorities",https://www.acses.org.au/,Moderate
Australian Department of Education - National Priority Pool Program,Australian Department of Education,"Address national education priorities, support disadvantaged students, and improve teaching quality and educational outcomes across Australia","Specific calls, various dates",MULTIPLE,,ONGOING,,Multiple deadlines throughout year,No,"Varies by call, typically AUD $100,000 - $1M+ for 1-3 years",,,UNKNOWN,,VARIABLE,Variable or unspecified amount,"Not explicitly stated, may vary by call","Australian education providers, research institutions, and non-profit organizations","Alignment with national priorities, project merit, capacity to deliver, and value for money",Moderate - requires detailed project plans and clear methodologies for achieving educational outcomes,https://www.education.gov.au/national-priority-pool-program,Moderate
Entrepreneurs' Programme - Accelerating Commercialisation,"Australian Department of Industry, Science and Resources","Provide matched funding to Australian SMEs and startups to commercialize novel products, processes, or services",Continuous applications,ROLLING,,ONGOING,,Applications accepted continuously,No,"AUD $50,000 - $1M (matched funding), typically 1-2 years","50,000","1,000,000",AUD,"1,000,000",MEDIUM,"Range: 50,000 - 1,000,000",Mandatory matched funding (cash) from the applicant,"Australian SMEs or startups with a novel product, process, or service, and a clear commercialization plan","Commercialization potential, market opportunity, management capability, and financial viability",Complex - requires strong business case and commercialization pathway,https://business.gov.au/grants-and-programs/accelerating-commercialisation,Complex
AustCyber Projects Fund,Australian Federal Government - Cyber Security Growth Network (AustCyber),"Grow Australia's cyber security industry by supporting innovative projects that enhance cyber capabilities, foster collaboration, and drive industry growth","Specific calls, various dates",MULTIPLE,,ONGOING,,Multiple deadlines throughout year,No,"AUD $50,000 - $500,000 for 1-2 years","50,000","500,000",AUD,"500,000",MEDIUM,"Range: 50,000 - 500,000",Mandatory co-contribution (cash or in-kind),"Australian organizations (companies, research institutions) with projects focused on cyber security innovation and growth","Alignment with national cyber security strategy, potential for industry growth, innovation, and collaboration",Moderate - requires alignment with national cyber security strategies,https://www.austcyber.com/our-work/projects-fund,Moderate
CRC Grants -- Round 26,Australian Government CRC Program,"Fund large-scale, long-term (up to 10-year) industry-led research collaborations to solve industry-identified problems and boost competitiveness and productivity in Australia","Stage 2 applications anticipated August-September 2025, final outcomes expected early 2026",TBA,,TBA,,Standard deadline,Yes,"Government pays up to 50% of eligible project costs (no fixed per-project cap), typically multi-million dollar grants over multiple years",,,UNKNOWN,,PERCENTAGE,Percentage-based funding,Mandatory matching of at least 50% from industry and/or research partners (cash or in-kind),Consortium with ≥3 Australian industry organisations (for-profit SMEs or larger) and ≥2 Australian research organisations. CRC becomes incorporated company,"Alignment to government priorities, industry need, research excellence, training programs, SME participation. Final approval by Government Minister","Very high - multi-stage, highly competitive, requiring detailed collaboration agreements, governance plans and business cases",https://www.industry.gov.au/funding-and-incentives/cooperative-research-centres-programme,Very Complex
CRC-P Grants -- Round 18,Australian Government CRC Program,"Support short-term (up to 3 years) industry-led R&D projects that develop new technologies, products or services, driving innovation in SMEs through applied research and education/training","Expected to open in late 2025 (second half), exact dates TBA",TBA,,TBA,,Standard deadline,Yes,"Matched grants between AUD $100,000 and $3,000,000 (exclusive of GST) for projects ≤3 years","100,000","300,000",AUD,"300,000",MEDIUM,"Range: 100,000 - 300,000",Applicants must match the grant funding 1:1 via their own cash or in-kind contributions,"Lead applicant must be Australian SME (registered trading corporation with ABN), must include ≥2 other Australian industry partners and ≥1 Australian research organisation","Competitive peer review evaluating innovation, feasibility, industry benefit, SME involvement, and planned outcomes/impact","High - two-stage EOI and application process, requires detailed project planning, budgeting and collaboration agreements",https://www.industry.gov.au/funding-and-incentives/cooperative-research-centres-programme,Complex
MRFF 2025 Genomics Health Futures,Australian Government Department of Health,Advance genomics research for health outcomes,4-Feb-26,SPECIFIC,4/02/2026,SOON,57,Standard deadline,No,Variable amounts available,,,UNKNOWN,,VARIABLE,Variable or unspecified amount,Not specified,Australian research organisations,Scientific excellence and health impact,Complex - detailed genomics research proposal required,https://www.health.gov.au/our-work/mrff/grant-opportunities-calendar,Complex
MRFF 2025 Cardiovascular Health Grant Opportunity (GO7554),Australian Government Department of Health,Cardiovascular Health Mission research addressing unmet clinical needs,"13 August 2025, 5:00pm",SPECIFIC,13/08/2025,PAST,,Specific time deadline,Yes,"Up to $2.5 million per project, 3-5 years duration","2,500,000","2,500,000",AUD,"2,500,000",HIGH,Up to amount,Not specified,"Eligible organisations including universities, research institutes, hospitals","Scientific excellence, research impact, translation potential","Complex - requires detailed research plan, budget, ethics approvals",https://www.health.gov.au/our-work/mrff/grant-opportunities-calendar,Complex
Health Workforce Scholarship Program (HWSP),Australian Government Department of Health,Upskilling health professionals in rural and remote areas through scholarships and bursaries,Round 1 2025-26: 01/07/2025 - 12/08/2025 (Multiple rounds annually),ANNUAL,,ONGOING,,Round 1; Annual application cycle,Yes,"Up to $10,000 per financial year (Scholarships: up to 2 years)","10,000","10,000",AUD,"10,000",HIGH,Up to amount,Return of service obligations apply,"Medical, nursing, midwifery, allied health, dental, and Aboriginal health professionals in MMM 3-7 locations","Community health needs alignment, local priorities from Health Workforce Needs Assessment",Moderate - requires demonstration of community benefit and service commitments,https://www.hwsp.com.au,Moderate
Business Research and Innovation Initiative (BRII),Australian Government Department of Industry,Government challenge-based innovation,No current rounds open,OTHER,,UNKNOWN,,Standard deadline,Yes,"Phase 1: Up to $100,000 feasibility; Phase 2: Up to $1 million development","100,000","1,000,000",AUD,"1,000,000",MEDIUM,"Up to amount; Range: 100,000 - 1,000,000; Tiered/multi-stream funding",Varies by challenge,Australian businesses responding to government challenges,Challenge-specific requirements and innovation potential,Complex - challenge-specific requirements,https://business.gov.au/,Complex
