"Grant Name","Administering Body","Grant Purpose","Application Deadline","Funding Amount","Co-contribution","Requirements","Eligibility Criteria","Assessment Criteria","Application Complexity","Web Link","Level of Complexity","last_checked","tags","notes"
"ANDHealth+ Digital & Connected Health Accelerator (Intake 1)","ANDHealth Pty Ltd (supported by MRFF BioMedTech Incubator)","Non-dilutive project funding and hands-on commercialisation support to scale evidence-based digital and connected health SMEs via a two-stage program with milestone-tranched funding.","2026-01-16","Up to $5,000,000","","Apply via Gust; two-stage (Stage 1 and Stage 2) with milestone plan; selection by multi-sector advisory panel; open date 2025-09-02.","Australian SMEs developing evidence-based digital or connected health technologies; see program page for detailed eligibility.","","","Two-stage application with project plan, milestones, attachments.","https://www.andhealth.com.au/andhealthplus","High","2025-10-27T00:00:00Z","digital health, AI, SME, TRL5-8, clinical evidence","Applications open 2025-09-02; close 2026-01-16. Milestone-tranched funding up to $5m."
"2025 BHI Conference Support Grants","The Hospital Research Foundation Group (Basil Hetzel Institute for Translational Health Research)","Support BHI‑affiliated staff and HDR students with some costs of conference participation (local, national, international).","","Up to $750 (local/virtual); up to $2,500 (international)","","Apply after conference participation and lodge within the relevant assessment cycle via SmartyGrants.","BHI‑affiliated staff and Higher Degree by Research (HDR) students; see scheme guidelines for full eligibility.","","","Short form via SmartyGrants; assessment cycles.","https://hospitalresearch.org.au/research-and-services/grants/current-opportunities/bhi-conference-support-grants/","Low","2025-10-27T00:00:00Z","conference, travel, early-career, translational","Rolling assessment cycles in 2025; see scheme guidelines for timelines."
"AEA Ignite (Round 3, expected early 2026)","Australia’s Economic Accelerator (Department of Education)","Early‑stage research commercialisation grants to establish proof‑of‑concept in an industry‑relevant environment.","","Up to $500,000","","Follows AEA timelines; Round 3 expected to open early 2026; check scheme page for updates.","Researchers at Australian universities; industry engagement expected; see AEA guidelines.","","","Standard competitive grants via AEA; details to be released for Round 3.","https://www.aea.gov.au/researcher-applicant/grants/aea-ignite","Medium","2025-10-27T00:00:00Z","commercialisation, TRL1-4, university, innovation","Round 2 closed 2025-09-03; Round 3 expected to open early 2026 per scheme page."
"MRFF – 2025 Targeted Translation Research Accelerator – Cardiovascular Disease and Diabetes Risk Prediction and Data Solutions","NHMRC on behalf of Australian Government Department of Health and Aged Care (MRFF)","Supports projects to identify predictive markers in diabetes/cardiovascular disease (Stream 1) and to harness existing data infrastructures to develop new prevention/treatment approaches (Stream 2).","2025-11-05","Stream 1: $0.25–1.0 million (up to 2 years); Stream 2: up to $2.5 million (up to 5 years)","","Apply via Sapphire/GrantConnect; two streams.","MRFF-eligible administering organisations; Stream 2 requires the organisation undertaking the majority of research to be in MM2–7, with CI-A, ≥50% of CIs and all participants resident in MM2–7 ≥12 months prior to close.","","","Full MRFF application via Sapphire; templates and RAO approvals required.","https://www.nhmrc.gov.au/funding/find-funding/mrff-2025-targeted-translation-research-accelerator-cardiovascular-disease-and-diabetes-risk-prediction-and-data-solutions-grant-opportunity-go7743","High","2025-10-27T00:00:00Z","AI, data, cardiovascular, diabetes, registries, RRR, TRL5-8, clinical","Funding ranges confirmed from university research office page; see guidelines on GrantConnect."
"MRFF – 2025 Targeted Translation Research Accelerator – Cardiovascular Disease and Diabetes Models of Care","NHMRC on behalf of Australian Government Department of Health and Aged Care (MRFF)","Large-scale, multidisciplinary projects to co-design, implement and validate technology-augmented, patient-centred models of care for CVD and/or diabetes.","2025-11-05","","","Apply via Sapphire/GrantConnect; two streams; topics include general, RRR (MM2–7), First Nations health, and CALD focus.","MRFF-eligible administering organisations; topic-specific conditions apply (e.g., RRR residency for Topic B).","","","Full MRFF application via Sapphire; templates and RAO approvals required.","https://www.nhmrc.gov.au/funding/find-funding/mrff-2025-targeted-translation-research-accelerator-cardiovascular-disease-and-diabetes-models-care-grant-opportunity-go7744","High","2025-10-27T00:00:00Z","digital health, models of care, CVD, diabetes, implementation, TRL5-8",""
"MRFF – 2025 Research Data Infrastructure","Australian Government Department of Health and Aged Care (MRFF)","Funds creation/extension of national research data infrastructure (registries, biobanks, linkage platforms) to enable and enhance Australian medical research.","2025-12-11","","","Guidelines available via GrantConnect; focus on strategic investments in data infrastructure.","","","","GrantConnect application (administered by NHMRC); MRFF processes apply.","https://www.health.gov.au/our-work/mrff/grant-opportunities-calendar","High","2025-10-27T00:00:00Z","data infrastructure, registries, linkage, AI, synthetic data","Program totals noted in MRFF communications; per‑grant caps not always stated publicly."
"MRFF – 2025 Genomics Health Futures","NHMRC on behalf of Australian Government Department of Health and Aged Care (MRFF)","Supports pharmacogenomics (Stream 1) and genomics to optimise diagnosis/treatment/prevention for priority diseases among Aboriginal and/or Torres Strait Islander peoples (Stream 2).","2026-02-04","Stream 1: $1.0–4.5 million; Stream 2: $5–10 million","","Apply via Sapphire/GrantConnect; stream/topic selection required.","MRFF-eligible administering organisations; stream-specific criteria apply.","","","Full MRFF application via Sapphire; templates and RAO approvals required.","https://www.health.gov.au/our-work/mrff/grant-opportunities-calendar","High","2025-10-27T00:00:00Z","genomics, pharmacogenomics, Indigenous health, bioinformatics, AI, TRL4-8","Per-grant ranges commonly provided on university research office pages; deadlines from MRFF calendar."
"MRFF – 2025 Maternal Health and Healthy Lifestyles","NHMRC on behalf of Australian Government Department of Health and Aged Care (MRFF)","Supports research to improve prevention and management of perinatal mental ill-health, healthy early childhood development, and preventive health approaches for adolescents, young adults and middle-aged people.","2025-12-03","","","Apply via Sapphire/GrantConnect.","MRFF-eligible administering organisations.","","","Full MRFF application via Sapphire; templates and RAO approvals required.","https://www.health.gov.au/our-work/mrff/grant-opportunities-calendar","High","2025-10-27T00:00:00Z","public health, prevention, maternal health, youth, TRL2-6","Program total up to $30m (news 7 Aug 2025); per-grant caps not stated publicly."
"MRFF – 2025 Clinical Trials Activity","NHMRC on behalf of Australian Government Department of Health and Aged Care (MRFF)","Supports medical research and innovation projects to conduct clinical trials across priority areas.","2026-04-01","","","Apply via Sapphire/GrantConnect.","MRFF-eligible administering organisations.","","","Full MRFF application via Sapphire; templates and RAO approvals required.","https://www.health.gov.au/our-work/mrff/grant-opportunities-calendar","High","2025-10-27T00:00:00Z","clinical trials, multicentre, TRL6-9",""
"MRFF – 2025 Brain Cancer Research (Australian Brain Cancer Mission)","NHMRC on behalf of Australian Government Department of Health and Aged Care (MRFF)","Supports brain cancer research to improve survival and outcomes under the Australian Brain Cancer Mission.","2026-02-04","","","Apply via Sapphire/GrantConnect.","MRFF-eligible administering organisations.","","","Full MRFF application via Sapphire; templates and RAO approvals required.","https://www.health.gov.au/our-work/mrff/grant-opportunities-calendar","High","2025-10-27T00:00:00Z","brain cancer, oncology, clinical, translational",""
